Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
2,47,10,,116364,10.10s,29.98MB,11522,2.97MB,4.18ms,96.56%,120.41ms,96.56%,5.82k,93.53%,12.36k,93.53%,,,,
2,48,10,,114571,10.10s,29.52MB,11344.19,2.92MB,4.38ms,80.29%,98.58ms,80.29%,5.73k,91.04%,11.51k,91.04%,,,,
2,49,10,,114237,10.00s,29.44MB,11422.86,2.94MB,4.46ms,96.01%,156.44ms,96.01%,5.74k,81.00%,9.44k,81.00%,,,,
2,50,10,,113712,10.00s,29.30MB,11370.44,2.93MB,6.04ms,98.35%,411.67ms,98.35%,5.71k,76.50%,8.82k,76.50%,,,,
3,3,10,,66287,10.10s,17.08MB,6563.21,1.69MB,450.51us,94.40%,6.80ms,94.40%,2.21k,78.81%,2.80k,78.81%,,,,
3,4,10,,66485,10.10s,17.13MB,6582.51,1.70MB,447.89us,87.80%,6.65ms,87.80%,2.21k,65.35%,2.45k,65.35%,,,,
3,5,10,,67379,10.10s,17.36MB,6671.19,1.72MB,442.09us,93.26%,7.65ms,93.26%,2.23k,75.91%,2.79k,75.91%,,,,
3,6,10,,88193,10.10s,22.72MB,8732.49,2.25MB,5.02ms,96.27%,202.13ms,96.27%,2.96k,72.91%,5.26k,72.91%,,,,
3,7,10,,98628,10.10s,25.41MB,9765.3,2.52MB,2.00ms,98.71%,202.03ms,98.71%,3.29k,80.07%,4.33k,80.07%,,,,
3,8,10,,92636,10.10s,23.87MB,9171.9,2.36MB,804.59us,96.40%,30.98ms,96.40%,3.08k,86.09%,3.95k,86.09%,,,,
